car_brand,car_name,year,km_driven,fuel,transmission,price,city
Honda,Honda City1.5 S AT,2012,"70,000kms",Petrol,Automatic,₹2.75 Lakh,pune
Maruti,Maruti Alto 800LXi,2020,"13,000kms",Petrol,Manual,₹3.27 Lakh,pune
Tata,Tata Tigor1.2 Revotron XZ Option,2018,"67,411kms",Petrol,Manual,₹3.81 Lakh,pune
Honda,Honda CityVX MT,2015,"89,344kms",Petrol,Manual,₹5.29 Lakh,pune
Renault,Renault TriberRXT EASY-R AMT BSVI,2020,"45,000kms",Petrol,Automatic,₹4.80 Lakh,pune
Hyundai,Hyundai Verna1.6 SX VTVT,2016,"31,268kms",Petrol,Manual,₹4.09 Lakh,pune
Hyundai,Hyundai SantroSportz CNG BSIV,2019,"72,970kms",CNG,Manual,₹3.35 Lakh,pune
Hyundai,Hyundai i20Petrol CVT Asta,2018,"70,908kms",Petrol,Automatic,₹4.65 Lakh,pune
Hyundai,Hyundai CretaSX (O) iVT,2024,"10,000kms",Petrol,Automatic,₹17.80 Lakh,pune
Maruti,Maruti Alto 800LXi,2020,"13,000kms",Petrol,Manual,₹3.27 Lakh,pune
Tata,Tata Tigor1.2 Revotron XZ Option,2018,"67,411kms",Petrol,Manual,₹3.81 Lakh,pune
Honda,Honda CityVX MT,2015,"89,344kms",Petrol,Manual,₹5.29 Lakh,pune
MG,MG AstorSavvy Turbo AT BSVI,2022,"60,000kms",Petrol,Automatic,₹12.93 Lakh,pune
Hyundai,Hyundai Verna1.6 SX VTVT,2016,"31,268kms",Petrol,Manual,₹4.09 Lakh,pune
Hyundai,Hyundai SantroSportz CNG BSIV,2019,"72,970kms",CNG,Manual,₹3.35 Lakh,pune
Hyundai,Hyundai SantroSportz,2021,"11,160kms",Petrol,Manual,₹3.82 Lakh,pune
Renault,Renault KigerRXZ Turbo CVT DT,2024,"14,000kms",Petrol,Automatic,₹7.25 Lakh,pune
Maruti,Maruti Baleno1.2 CVT Zeta,2017,"84,169kms",Petrol,Automatic,₹3.95 Lakh,pune
Hyundai,Hyundai i20Petrol CVT Asta,2018,"70,908kms",Petrol,Automatic,₹4.65 Lakh,pune
Maruti,Maruti CelerioZXI Optional AMT BSIV,2018,"58,748kms",Petrol,Automatic,₹3.38 Lakh,pune
MG,2024MG HectorSavvy Pro CVT  -2025,2023,"4,200kms",Petrol,Automatic,₹17.40 Lakh,pune
Hyundai,Hyundai i20Petrol CVT Asta,2018,"47,233kms",Petrol,Automatic,₹4.70 Lakh,pune
Tata,Tata TiagoXT BSVI,2022,"21,841kms",Petrol,Manual,₹4.53 Lakh,pune
Tata,Tata Tigor1.2 Revotron XZ Option,2018,"52,282kms",Petrol,Manual,₹3.63 Lakh,pune
Maruti,Maruti DzireVXI,2017,"48,740kms",Petrol,Manual,₹5.28 Lakh,pune
Toyota,Toyota Corolla AltisPetrol LE,2015,"82,684kms",Petrol,Manual,₹5.78 Lakh,pune
Maruti,Maruti Wagon RCNG LXI,2017,"28,740kms",CNG,Manual,₹4.05 Lakh,pune
Volkswagen,Volkswagen Ameo1.2 MPI Comfortline Plus,2017,"84,816kms",Petrol,Manual,₹3.47 Lakh,pune
Volkswagen,Volkswagen Ameo1.2 MPI Comfortline Plus,2017,"84,816kms",Petrol,Manual,₹3.47 Lakh,pune
Hyundai,Hyundai i20Magna Plus,2020,"1,18,689kms",Petrol,Manual,₹4.20 Lakh,pune
Volkswagen,Volkswagen Ameo1.2 MPI Comfortline,2017,"36,026kms",Petrol,Manual,₹4.06 Lakh,pune
Maruti,Maruti Wagon RCNG LXI,2015,"1,18,236kms",CNG,Manual,₹3.17 Lakh,pune
Ford,Ford FreestyleTitanium Diesel,2021,"56,744kms",Diesel,Manual,₹5.69 Lakh,pune
Tata,Tata TiagoXZ Plus,2020,"62,834kms",Petrol,Manual,₹4.82 Lakh,pune
Renault,Renault KigerRXT AMT Opt,2021,"39,237kms",Petrol,Automatic,₹5.02 Lakh,pune
Tata,Tata Tigor1.2 Revotron XZ Option,2017,"1,00,517kms",Petrol,Manual,₹3.46 Lakh,pune
