car_brand,car_name,year,km_driven,fuel,transmission,price,city
Volvo,Volvo XC60B5 Inscripition,2022,"33,254kms",Petrol,Automatic,₹41 Lakh,delhi-ncr
Ford,Ford Figo1.5D Titanium MT,2019,"72,000kms",Diesel,Manual,₹4.10 Lakh,delhi-ncr
Hyundai,Hyundai CretaSX BSVI,2022,"50,000kms",Petrol,Manual,₹12 Lakh,delhi-ncr
Maruti,Maruti SwiftLXI,2020,"65,000kms",Petrol,Manual,₹4.50 Lakh,delhi-ncr
Hyundai,Hyundai Grand i10Asta Option,2013,"69,000kms",Petrol,Manual,₹2.99 Lakh,delhi-ncr
Kia,Kia CarensLuxury Plus iMT BSVI,2023,"7,000kms",Petrol,Automatic,₹15.50 Lakh,delhi-ncr
Hyundai,Hyundai TucsonGLS Diesel AT,2021,"75,000kms",Diesel,Automatic,₹15 Lakh,delhi-ncr
MG,MG HectorSharp AT BSIV,2021,"38,000kms",Petrol,Automatic,₹13.50 Lakh,delhi-ncr
Honda,Honda BR-Vi-DTEC VX MT,2019,"72,000kms",Diesel,Manual,₹6.75 Lakh,delhi-ncr
Toyota,Toyota Innova Crysta2.4 G MT 8S BSIV,2018,"1,45,000kms",Diesel,Manual,₹10.50 Lakh,delhi-ncr
Skoda,Skoda OctaviaStyle,2022,"43,000kms",Petrol,Automatic,₹8.85 Lakh,delhi-ncr
Hyundai,Hyundai AuraS,2020,"55,000kms",Petrol,Manual,₹4.75 Lakh,delhi-ncr
Honda,Honda Jazz1.2 SV i VTEC,2015,"52,000kms",Petrol,Manual,₹4.25 Lakh,delhi-ncr
Hyundai,Hyundai TucsonGLS 4WD Diesel AT,2021,"95,000kms",Diesel,Automatic,₹15 Lakh,delhi-ncr
Maruti,Maruti BalenoZeta CVT,2021,"31,000kms",Petrol,Automatic,₹6.10 Lakh,delhi-ncr
Volkswagen,Volkswagen Taigun1.0 TSI Highline AT BSVI,2022,"60,000kms",Petrol,Automatic,₹9.75 Lakh,delhi-ncr
Maruti,Maruti CelerioLXI Optional MT BSIV,2019,"57,000kms",Petrol,Manual,₹3.60 Lakh,delhi-ncr
Hyundai,Hyundai Creta1.4 E Plus,2019,"68,000kms",Diesel,Manual,₹6.90 Lakh,delhi-ncr
Kia,Kia SeltosHTE Diesel,2020,"70,000kms",Diesel,Manual,₹6.75 Lakh,delhi-ncr
Mahindra,Mahindra Bolero Power PlusSLX,2019,"80,000kms",Diesel,Manual,₹5.55 Lakh,delhi-ncr
Ford,Ford Aspire1.2 Ti-VCT Titanium,2017,"66,000kms",Petrol,Manual,₹3.55 Lakh,delhi-ncr
Hyundai,Hyundai VenueS Turbo BSIV,2019,"60,000kms",Petrol,Manual,₹5.80 Lakh,delhi-ncr
Hyundai,Hyundai Creta1.6 VTVT E Plus,2017,"82,000kms",Petrol,Manual,₹5.90 Lakh,delhi-ncr
Ford,Ford Ecosport1.5 Petrol Titanium Plus BSIV,2016,"50,000kms",Petrol,Manual,₹4.30 Lakh,delhi-ncr
