,car_brand,car_name,year,km_driven,fuel,transmission,price,city
1098,Ford,Ford Ecosport1.5 TDCi Titanium BSIV,2016,"80,000kms",Diesel,Manual,₹5.75 Lakh,Hyderabad
1099,Maruti,Maruti SwiftAMT ZXI Plus,2019,"76,000kms",Petrol,Automatic,₹5.80 Lakh,Hyderabad
1100,Hyundai,Hyundai i20Asta 1.4 CRDi,2014,"1,32,000kms",Diesel,Manual,₹3.95 Lakh,Hyderabad
1101,Mahindra,Mahindra Bolero Power PlusZLX,2017,"1,30,844kms",Diesel,Manual,₹5.95 Lakh,Hyderabad
1102,Hyundai,Hyundai Grand i10Asta,2016,"83,800kms",Petrol,Manual,₹3.95 Lakh,Hyderabad
1103,Honda,Honda JazzVX,2019,"21,904kms",Petrol,Manual,₹5.90 Lakh,Hyderabad
1104,Maruti,Maruti SwiftAMT ZXI Plus,2019,"76,000kms",Petrol,Automatic,₹5.80 Lakh,Hyderabad
1105,Hyundai,Hyundai i20Asta 1.4 CRDi,2014,"1,32,000kms",Diesel,Manual,₹3.95 Lakh,Hyderabad
1106,Mahindra,Mahindra Bolero Power PlusZLX,2017,"1,30,844kms",Diesel,Manual,₹5.95 Lakh,Hyderabad
1107,Hyundai,Hyundai Grand i10Asta,2016,"83,800kms",Petrol,Manual,₹3.95 Lakh,Hyderabad
1108,Honda,Honda JazzVX,2019,"21,904kms",Petrol,Manual,₹5.90 Lakh,Hyderabad
1109,Volkswagen,Volkswagen VentoDiesel Highline,2013,"59,000kms",Diesel,Manual,₹4.90 Lakh,Hyderabad
1110,Maruti,Maruti Wagon RAMT VXI Option,2019,"77,400kms",Petrol,Automatic,₹4.50 Lakh,Hyderabad
1111,Honda,Honda Cityi VTEC SV,2014,"65,000kms",Petrol,Manual,₹4.95 Lakh,Hyderabad
1112,Maruti,Maruti SwiftLDI BSIV,2016,"64,621kms",Diesel,Manual,₹4.80 Lakh,Hyderabad
1113,Maruti,Maruti SwiftZDi,2012,"40,000kms",Diesel,Manual,₹3.80 Lakh,Hyderabad
1114,Maruti,Maruti Swift DzireVDI,2018,"1,22,966kms",Diesel,Manual,₹5.85 Lakh,Hyderabad
1115,Toyota,Toyota Etios1.4 GXD,2018,"2,13,000kms",Diesel,Manual,₹4.95 Lakh,Hyderabad
1116,Honda,Honda WR-Vi-VTEC VX,2018,"62,900kms",Petrol,Manual,₹5.99 Lakh,Hyderabad
1117,Maruti,Maruti Wagon RAMT VXI,2017,"36,000kms",Petrol,Automatic,₹4.10 Lakh,Hyderabad
