car_brand,car_name,year,km_driven,fuel,transmission,price,city
Skoda,Skoda SuperbLK 2.0 TDI AT,2018,"1,16,000kms",Diesel,Automatic,₹12.50 Lakh,gurgaon
Honda,Honda AmazeS i-VTEC,2016,"75,000kms",Petrol,Manual,₹3.25 Lakh,gurgaon
Hyundai,Hyundai Xcent1.2 Kappa S,2015,"75,000kms",Petrol,Manual,₹3.10 Lakh,gurgaon
Toyota,Toyota Corolla Altis1.8 J,2014,"37,000kms",Petrol,Manual,₹3.95 Lakh,gurgaon
Audi,Audi A335 TFSI Premium Plus,2019,"55,419kms",Petrol,Automatic,₹19 Lakh,gurgaon
Mahindra,Mahindra VeritoExecutive D6 BSIV,2019,"53,856kms",Diesel,Manual,₹4.10 Lakh,gurgaon
Tata,Tata SafariDICOR 2.2 EX 4x2,2015,"76,000kms",Diesel,Manual,₹5.95 Lakh,gurgaon
Honda,Honda AmazeVX i-VTEC,2018,"76,617kms",Petrol,Manual,₹4.65 Lakh,gurgaon
Honda,Honda WR-Vi-VTEC VX,2019,"80,000kms",Petrol,Manual,₹6.50 Lakh,gurgaon
Hyundai,Hyundai i201.4 Sportz,2018,"65,000kms",Diesel,Manual,₹4.95 Lakh,gurgaon
Maruti,Maruti BalenoDelta,2020,"51,008kms",Petrol,Manual,₹4.40 Lakh,gurgaon
Ford,Ford Ecosport1.5 Petrol Titanium BSIV,2017,"72,585kms",Petrol,Manual,₹4.55 Lakh,gurgaon
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2017,"70,000kms",Petrol,Manual,₹7.15 Lakh,gurgaon
Hyundai,Hyundai AlcazarSignature (O) Diesel AT BSVI,2021,"69,534kms",Diesel,Automatic,₹11.95 Lakh,gurgaon
Honda,Honda CityZX MT,2021,"30,377kms",Petrol,Manual,₹10.37 Lakh,gurgaon
Tata,2021Tata HarrierXT plus  -2022,2020,"68,633kms",Diesel,Manual,₹11.40 Lakh,gurgaon
Skoda,Skoda Octavia1.8 TSI AT L K,2017,"50,000kms",Petrol,Automatic,₹7.50 Lakh,gurgaon
Kia,Kia CarensLuxury Plus 6STR Diesel BSVI,2022,"63,621kms",Diesel,Manual,₹13.45 Lakh,gurgaon
Mahindra,Mahindra TharLX 4WD Hard Top Diesel BSVI,2021,"26,520kms",Diesel,Manual,₹11.70 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz E-ClassE200 Edition E,2018,"15,983kms",Petrol,Automatic,₹32.22 Lakh,gurgaon
Hyundai,Hyundai i20Magna Optional 1.2,2014,"62,000kms",Petrol,Manual,₹3.25 Lakh,gurgaon
Jaguar,Jaguar XJ50 Special Edition,2019,"45,000kms",Diesel,Automatic,₹45 Lakh,gurgaon
Volvo,Volvo XC90D5 Inscription,2021,"45,000kms",Diesel,Automatic,₹65 Lakh,gurgaon
Jaguar,Jaguar XF2.0 Petrol Prestige,2018,"18,000kms",Petrol,Automatic,₹35 Lakh,gurgaon
BMW,BMW 5 Series530i M Sport BSVI,2022,"35,000kms",Petrol,Automatic,₹53 Lakh,gurgaon
BMW,BMW 7 Series730Ld DPE Signature,2022,"13,000kms",Diesel,Automatic,₹82 Lakh,gurgaon
Land Rover,Land Rover Discovery2.0 SE,2021,"40,000kms",Petrol,Automatic,₹39.50 Lakh,gurgaon
Hyundai,Hyundai VernaSX Turbo DCT,2023,"30,092kms",Petrol,Automatic,₹12.94 Lakh,gurgaon
BMW,BMW X1sDrive18i M Sport,2024,"20,196kms",Petrol,Automatic,₹44 Lakh,gurgaon
Volkswagen,Volkswagen Taigun1.0 Topline AT,2022,"49,415kms",Petrol,Automatic,₹11.93 Lakh,gurgaon
Jeep,Jeep Compass1.4 Sport,2021,"74,645kms",Petrol,Manual,₹10.60 Lakh,gurgaon
Kia,Kia CarensPrestige Plus Diesel,2022,"37,701kms",Diesel,Manual,₹10.90 Lakh,gurgaon
BMW,BMW iXxDrive50,2024,"19,864kms",Electric,Automatic,₹89 Lakh,gurgaon
Hyundai,Hyundai VernaSX Turbo DCT,2023,"27,506kms",Petrol,Automatic,₹14.26 Lakh,gurgaon
Skoda,Skoda Kushaq1.5 TSI Ambition,2021,"85,884kms",Petrol,Manual,₹10.51 Lakh,gurgaon
Skoda,Skoda Kushaq1.0 TSI Style,2022,"22,873kms",Petrol,Manual,₹11.37 Lakh,gurgaon
Hyundai,Hyundai Tucson2.0 e-VGT 2WD AT GLS,2017,"82,000kms",Diesel,Automatic,₹11 Lakh,gurgaon
Skoda,Skoda Kushaq1.0 TSI Style,2022,"1,16,264kms",Petrol,Manual,₹11.06 Lakh,gurgaon
Skoda,Skoda Kushaq1.5 TSI Style DSG,2022,"71,293kms",Petrol,Automatic,₹12.94 Lakh,gurgaon
Kia,Kia CarensPrestige Plus Diesel,2023,"69,341kms",Diesel,Manual,₹11.54 Lakh,gurgaon
Hyundai,Hyundai i20 Active1.2 S,2015,"89,000kms",Petrol,Manual,₹3.25 Lakh,gurgaon
Kia,Kia CarensPrestige Plus Diesel,2022,"37,701kms",Diesel,Manual,₹10.90 Lakh,gurgaon
Skoda,Skoda Kushaq1.0 TSI Style,2022,"22,873kms",Petrol,Manual,₹11.37 Lakh,gurgaon
Hyundai,Hyundai VernaSX Turbo DCT,2023,"30,092kms",Petrol,Automatic,₹12.94 Lakh,gurgaon
Tata,2022Tata NexonXZ  -2022,2020,"36,000kms",Petrol,Manual,₹7.70 Lakh,gurgaon
Volkswagen,Volkswagen Taigun1.0 Topline AT,2022,"49,415kms",Petrol,Automatic,₹11.93 Lakh,gurgaon
Jeep,Jeep Compass1.4 Sport,2021,"74,645kms",Petrol,Manual,₹10.60 Lakh,gurgaon
Kia,Kia CarensPrestige Plus Diesel,2023,"69,341kms",Diesel,Manual,₹11.54 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 200,2023,"40,000kms",Petrol,Automatic,₹55 Lakh,gurgaon
Skoda,Skoda Kushaq1.0 TSI Style AT,2021,"48,164kms",Petrol,Automatic,₹10.44 Lakh,gurgaon
Hyundai,Hyundai AlcazarPlatinum (O) AT,2021,"35,000kms",Petrol,Automatic,₹13.25 Lakh,gurgaon
Kia,Kia SyrosHTX Turbo,2025,"1,878kms",Petrol,Manual,₹11.95 Lakh,gurgaon
Skoda,Skoda Kushaq1.0 TSI Ambition,2023,"79,400kms",Petrol,Manual,₹9 Lakh,gurgaon
Jeep,Jeep Compass1.4 Longitude Plus AT,2019,"42,000kms",Petrol,Automatic,₹10.25 Lakh,gurgaon
Mahindra,Mahindra TharAX Opt 4WD Convert Top BSVI,2021,"43,000kms",Petrol,Manual,₹11.50 Lakh,gurgaon
Toyota,Toyota Innova Crysta2.4 GX 7 STR,2020,"1,28,000kms",Diesel,Manual,₹14.50 Lakh,gurgaon
Hyundai,Hyundai Grand i10Asta Option AT,2016,"62,000kms",Petrol,Automatic,₹3.65 Lakh,gurgaon
BMW,BMW 5 Series520d Luxury Line,2016,"50,000kms",Diesel,Automatic,₹14.25 Lakh,gurgaon
BMW,BMW X5xDrive 30d,2014,"1,04,000kms",Diesel,Automatic,₹14.99 Lakh,gurgaon
Tata,Tata Tiago1.05 Revotorq XZ,2016,"77,558kms",Diesel,Manual,₹2.60 Lakh,gurgaon
Maruti,Maruti BalenoZeta,2019,"55,000kms",Petrol,Manual,₹4.48 Lakh,gurgaon
BMW,BMW 3 Series320i Luxury Line,2016,"45,829kms",Petrol,Automatic,₹18.68 Lakh,gurgaon
Toyota,Toyota Innova Crysta2.4 GX 7 STR AT,2022,"83,859kms",Diesel,Automatic,₹16.98 Lakh,gurgaon
Audi,Audi A430 TFSI Premium Plus,2017,"42,000kms",Petrol,Automatic,₹19.75 Lakh,gurgaon
Hyundai,Hyundai VenueSX Turbo,2021,"1,00,000kms",Petrol,Manual,₹7 Lakh,gurgaon
Toyota,Toyota Innova Crysta2.8 ZX AT BSIV,2020,"1,02,000kms",Diesel,Automatic,₹18.50 Lakh,gurgaon
Ford,Ford Endeavour3.2 Titanium AT 4X4,2017,"1,20,000kms",Diesel,Automatic,₹16.90 Lakh,gurgaon
Ford,Ford FigoTitanium AT  -2020,2019,"65,741kms",Petrol,Automatic,₹4.34 Lakh,gurgaon
Maruti,Maruti Alto K10LXI,2019,"19,077kms",Petrol,Manual,₹2.90 Lakh,gurgaon
Audi,Audi Q540 TDI Technology,2019,"45,000kms",Diesel,Automatic,₹33.50 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz S-ClassS450 4Matic BSVI,2022,"35,000kms",Petrol,Automatic,₹1.07 Crore,gurgaon
Toyota,Toyota Camry2.5 Hybrid,2024,"5,000kms",Petrol,Automatic,₹39.50 Lakh,gurgaon
Land Rover,Land Rover Range Rover Evoque2.0 R-Dynamic SE,2022,"13,200kms",Petrol,Automatic,₹49 Lakh,gurgaon
BMW,BMW X1sDrive18i M Sport,2024,"14,000kms",Petrol,Automatic,₹44.50 Lakh,gurgaon
Land Rover,Land Rover Discovery2.0 SE,2021,"40,000kms",Petrol,Automatic,₹41.25 Lakh,gurgaon
Jeep,Jeep MeridianLimited Opt 4x2 AT,2023,"28,584kms",Diesel,Automatic,₹22.72 Lakh,gurgaon
Citroen,Citroen C3Feel,2023,"10,000kms",Petrol,Manual,₹4.07 Lakh,gurgaon
Audi,Audi Q330 TFSI Premium FWD,2018,"55,000kms",Petrol,Automatic,₹21.45 Lakh,gurgaon
Mini Cooper,Mini CooperS,2015,"45,000kms",Petrol,Automatic,₹24 Lakh,gurgaon
Audi,Audi Q330 TFSI Premium FWD,2018,"55,000kms",Petrol,Automatic,₹21.45 Lakh,gurgaon
Mahindra,Mahindra Bolero NeoN10 R,2024,"20,000kms",Diesel,Manual,₹9.50 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz GLS350d 4MATIC,2017,"1,15,000kms",Diesel,Automatic,₹29.19 Lakh,gurgaon
BMW,BMW X5xDrive 30d M Sport,2017,"1,10,500kms",Diesel,Automatic,₹22.39 Lakh,gurgaon
Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2016,"46,113kms",Petrol,Manual,₹3.37 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz C-ClassProgressive C 200,2021,"30,000kms",Petrol,Automatic,₹34 Lakh,gurgaon
Mahindra,Mahindra XUV700AX7 AT Luxury Pack BSVI,2023,"30,642kms",Petrol,Automatic,₹19.71 Lakh,gurgaon
Hyundai,Hyundai Verna1.6 VTVT S Option,2015,"59,569kms",Petrol,Manual,₹3.62 Lakh,gurgaon
Maruti,Maruti CelerioVXI Optional MT BSIV,2018,"40,717kms",Petrol,Manual,₹3.26 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz CLA200 CGI Sport,2019,"29,684kms",Petrol,Automatic,₹25 Lakh,gurgaon
Renault,Renault KWIDRXL,2019,"46,915kms",Petrol,Manual,₹2.12 Lakh,gurgaon
Maruti,Maruti SwiftVXI,2022,"22,819kms",Petrol,Manual,₹5.45 Lakh,gurgaon
