car_brand,car_name,year,km_driven,fuel,transmission,price,city
Honda,Honda Cityi-VTEC VX,2018,"45,000kms",Petrol,Manual,₹7.75 Lakh,chennai
Maruti,Maruti S CrossAlpha,2018,"1,05,950kms",Petrol,Manual,₹7.34 Lakh,chennai
Ford,Ford Ecosport1.5 Petrol Titanium,2021,"21,168kms",Petrol,Manual,₹7.40 Lakh,chennai
Honda,Honda Cityi VTEC V,2017,"36,457kms",Petrol,Manual,₹6.43 Lakh,chennai
Hyundai,Hyundai VenueSX Turbo iMT,2021,"57,326kms",Petrol,Manual,₹6.67 Lakh,chennai
Honda,Honda CityV MT,2021,"51,000kms",Petrol,Manual,₹9.25 Lakh,chennai
Honda,Honda Cityi-VTEC VX,2018,"45,000kms",Petrol,Manual,₹7.75 Lakh,chennai
Hyundai,Hyundai Grand i10 NiosSportz,2022,"21,000kms",Petrol,Manual,₹7 Lakh,chennai
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2018,"52,000kms",Petrol,Manual,₹8.25 Lakh,chennai
Hyundai,Hyundai i20Sportz Plus BSIV,2019,"69,000kms",Petrol,Manual,₹6.45 Lakh,chennai
Maruti,Maruti CiazAlpha Automatic BSIV,2017,"70,000kms",Petrol,Automatic,₹6.50 Lakh,chennai
Jeep,Jeep Compass2.0 Longitude Option BSIV,2018,"95,000kms",Diesel,Manual,₹8.95 Lakh,chennai
Hyundai,Hyundai Creta1.6 SX Automatic,2019,"36,000kms",Petrol,Automatic,₹9.95 Lakh,chennai
Hyundai,Hyundai i20Sportz,2023,"27,000kms",Petrol,Manual,₹7.90 Lakh,chennai
Honda,Honda Cityi VTEC V,2017,"72,000kms",Petrol,Manual,₹6.99 Lakh,chennai
Hyundai,Hyundai VenueSX Diesel,2021,"40,284kms",Diesel,Manual,₹9.40 Lakh,chennai
Hyundai,Hyundai Creta1.4 E Plus CRDi,2017,"72,127kms",Diesel,Manual,₹7.99 Lakh,chennai
Hyundai,Hyundai i20Sportz BSVI,2021,"45,900kms",Petrol,Manual,₹6.60 Lakh,chennai
Honda,Honda CityV MT,2020,"55,000kms",Petrol,Manual,₹8 Lakh,chennai
Hyundai,Hyundai i20Sportz Plus BSIV,2019,"72,147kms",Petrol,Manual,₹6.50 Lakh,chennai
Hyundai,Hyundai i20Sportz Opt DT,2023,"43,018kms",Petrol,Manual,₹6.90 Lakh,chennai
Maruti,Maruti SwiftZXI,2023,"50,260kms",Petrol,Manual,₹6.20 Lakh,chennai
Jeep,Jeep Compass2.0 Longitude Option BSIV,2018,"95,000kms",Diesel,Manual,₹8.95 Lakh,chennai
Hyundai,Hyundai Creta1.6 SX Automatic,2019,"36,000kms",Petrol,Automatic,₹9.95 Lakh,chennai
Hyundai,Hyundai i20Sportz Plus BSIV,2019,"69,000kms",Petrol,Manual,₹6.45 Lakh,chennai
Hyundai,Hyundai i20Asta Opt BSVI,2022,"28,000kms",Petrol,Manual,₹8.20 Lakh,chennai
Tata,Tata AltrozXZ BSVI,2021,"35,000kms",Petrol,Manual,₹6.80 Lakh,chennai
Hyundai,Hyundai i20Sportz,2023,"27,000kms",Petrol,Manual,₹7.90 Lakh,chennai
Hyundai,Hyundai VenueSX Diesel,2021,"40,284kms",Diesel,Manual,₹9.40 Lakh,chennai
Maruti,Maruti SwiftZXi,2024,"17,900kms",Petrol,Manual,₹7.65 Lakh,chennai
Hyundai,Hyundai VenueSX,2023,"19,000kms",Petrol,Manual,₹9.15 Lakh,chennai
Kia,Kia SeltosHTK Plus D,2020,"1,29,000kms",Diesel,Manual,₹8.50 Lakh,chennai
Hyundai,Hyundai VenueSX Diesel,2021,"1,05,889kms",Diesel,Manual,₹6.94 Lakh,chennai
